1	44	2.05433
1	299	2.57066
1	373	2.48354
1	476	2.23664
1	723	0.802762
1	747	3.50277
1	773	3.59095
1	868	4.65231
1	931	5.13362
2	223	1.08861
2	374	2.22654
2	378	1.62969
2	591	3.59847
2	648	2.15818
2	730	3.2816
2	739	3.40415
2	932	3.80459
2	939	5.84113
3	333	2.97141
3	465	1.7826
3	557	1.22473
3	666	2.3567
3	899	4.28054
3	950	1.3368
3	958	5.22564
3	974	1.13128
3	997	6.72975
4	99	2.89003
4	210	2.24186
4	501	1.57087
4	511	2.28664
4	599	2.71424
4	604	3.14839
4	642	3.07621
4	662	3.82877
4	921	5.24287
5	161	3.78107
5	536	2.19384
5	575	0.1375
5	607	1.42689
5	782	3.51264
5	801	3.91579
5	859	3.97267
5	874	3.60376
5	898	4.40135
6	217	1.58882
6	252	1.55523
6	360	3.67656
6	392	1.9786
6	627	2.41257
6	770	2.93562
6	796	3.08264
6	907	4.59955
6	944	5.03562
7	54	0.906729
7	228	2.73514
7	455	2.56889
7	689	1.72636
7	702	2.00771
7	713	2.54487
7	855	3.16476
7	976	5.11089
7	995	6.13897
8	48	2.04209
8	58	2.20512
8	138	3.58373
8	278	1.87837
8	331	2.07812
8	549	1.85724
8	672	3.42752
8	926	4.94718
8	927	5.02076
9	250	2.55856
9	585	2.47058
9	599	1.16081
9	738	2.30393
9	918	3.80134
9	921	3.68944
9	925	3.59897
9	965	4.5754
9	969	2.83017
10	88	0.210415
10	433	2.98511
10	504	0.100831
10	784	2.36649
10	952	4.21926
10	961	2.96549
10	975	4.02921
10	989	4.74699
10	993	5.32863
11	21	2.64666
11	89	1.5186
11	409	0.455896
11	448	2.67064
11	636	1.47824
11	797	2.88548
11	962	5.07176
11	970	5.08666
11	971	5.10348
12	429	1.5741
12	523	0.414356
12	590	0.556986
12	901	1.59441
12	913	4.25971
12	922	2.27499
12	957	5.42894
12	969	5.1997
12	988	5.74042
13	227	1.59426
13	486	2.18204
13	726	0.520929
13	750	3.14906
13	850	3.77119
13	930	1.31719
13	931	3.58225
13	949	5.25763
13	966	5.64565
14	168	2.65867
14	433	2.41024
14	591	1.52997
14	602	1.06652
14	656	3.04578
14	743	3.82479
14	808	2.85513
14	858	4.83984
14	878	4.82055
15	376	2.14292
15	455	2.57906
15	542	2.58049
15	549	1.51871
15	627	1.69563
15	696	3.56248
15	720	3.70429
15	801	4.344
15	898	4.82956
16	178	2.32415
16	509	1.23508
16	619	1.90313
16	846	3.25045
16	849	3.4798
16	883	3.30873
16	885	1.95154
16	919	4.13174
16	987	5.52623
17	166	1.68197
17	279	1.35556
17	453	2.10166
17	508	2.57414
17	620	3.31226
17	672	3.63966
17	890	1.95878
17	926	5.15931
17	927	5.23289
18	25	1.11132
18	415	2.84363
18	467	0.882767
18	585	2.98133
18	734	2.41889
18	864	3.04884
18	925	4.10971
18	953	4.50564
18	965	5.08614
19	496	1.3977
19	589	1.15268
19	680	0.471244
19	690	1.44893
19	692	2.58562
19	943	4.10985
19	950	4.64618
19	985	5.27875
19	996	5.94165
20	480	0.495934
20	755	0.972385
20	792	2.86736
20	799	2.53571
20	803	1.7454
20	814	2.72987
20	957	5.20623
20	969	4.97699
20	988	5.51772
21	11	2.64666
21	152	0.397362
21	228	1.08906
21	636	0.00223399
21	749	2.95838
