degree distribution (probability density function of the degree in logarithmic bins) 
9.42857	0.214804
11.4536	0.0985327
13.4667	0.0450166
15.8692	0.0387233
19.1413	0.0281048
22.7073	0.0105726
26.7556	0.00979523
31.8065	0.00569598
37.4706	0.0026367
45.7273	0.00144015

degree distribution (degree-occurrences) 
9	0.204
10	0.153
11	0.106
12	0.088
13	0.056
14	0.049
15	0.042
16	0.037
17	0.028
18	0.033
19	0.024
20	0.024
21	0.011
22	0.021
23	0.011
24	0.009
25	0.011
26	0.014
27	0.006
28	0.003
29	0.011
30	0.008
31	0.006
32	0.006
33	0.006
34	0.005
35	0.005
37	0.004
38	0.003
39	0.002
40	0.001
41	0.002
42	0.001
43	0.002
45	0.002
46	0.001
47	0.002
48	0.002
49	0.001


--------------------------------------
community distribution (size-occurrences)
20	0.0606061
21	0.0606061
22	0.121212
23	0.030303
24	0.030303
25	0.0606061
26	0.030303
27	0.121212
28	0.030303
29	0.030303
30	0.030303
32	0.0606061
35	0.030303
36	0.0606061
38	0.030303
39	0.030303
40	0.0606061
44	0.030303
45	0.030303
46	0.030303
49	0.030303


--------------------------------------
mixing parameter (topology)
0.111111	0.001
0.2	0.003
0.222222	0.067
0.230769	0.004
0.25	0.045
0.270979	0.119
0.28679	0.12
0.30225	0.284
0.315462	0.071
0.333333	0.228
0.356513	0.02
0.363636	0.033
0.4	0.003
0.444444	0.002

--------------------------------------
mixing parameter (weights)
0.193009	0.001
0.195973	0.005
0.196707	0.003
0.197384	0.008
0.198069	0.015
0.198738	0.04
0.199405	0.124
0.200014	0.473
0.20063	0.198
0.201252	0.08
0.201936	0.026
0.202579	0.015
0.203313	0.006
0.203899	0.004
0.204515	0.001
0.206312	0.001

--------------------------------------
internal weights (weight-occurrences)
0.361962	0.0120318
1.10096	0.0238696
1.74758	0.040947
2.42509	0.0809237
3.09017	0.114108
3.7504	0.129633
4.44319	0.12517
5.10653	0.137396
5.80522	0.10557
6.44826	0.0780128
7.13579	0.0607413
7.82138	0.040753
8.50922	0.0205705
9.11068	0.0120318
9.84167	0.00834465
10.5713	0.00368717
11.2128	0.00310499
11.8947	0.00135843
12.5467	0.000970309
13.3413	0.000776247

--------------------------------------
external weights (weight-occurrences)
0.217545	0.0131341
0.647108	0.0276268
1.05845	0.0597826
1.48279	0.105072
1.88452	0.115942
2.30367	0.140851
2.72691	0.125906
3.11589	0.111866
3.54206	0.0991848
3.96434	0.0683877
4.35669	0.0480072
4.78685	0.0298913
5.20719	0.017663
5.65812	0.0153986
6.05563	0.00769928
6.44865	0.00634058
6.90185	0.00226449
7.26618	0.00362319
7.76835	0.000452899
8.14705	0.000905797
